Day 1 (Open),Day 2 (Open),Day 3 (Open),Day 4 (Open),Day 5 (Open),Day 1 (High),Day 2 (High),Day 3 (High),Day 4 (High),Day 5 (High),Day 1 (Low),Day 2 (Low),Day 3 (Low),Day 4 (Low),Day 5 (Low),Day 1 (Close),Day 2 (Close),Day 3 (Close),Day 4 (Close),Day 5 (Close),Day 1 (Volume),Day 2 (Volume),Day 3 (Volume),Day 4 (Volume),Day 5 (Volume),Day 6 (Open),Day 6 (High),Day 6 (Low),Day 6 (Volume),Day 6 (Close)
229.600006,241.130005,238.139999,242.509995,243,244.600006,241.5,240.5,243.119995,247.559998,228.25,235.639999,235.059998,238.75,241.320007,242.770004,238.100006,238.660004,241.699997,242.589996,10516300,4962500,3228400,3775300,4203800,240.490005,242.350006,236.529999,238.929993,3682600
241.130005,238.139999,242.509995,243,240.490005,241.5,240.5,243.119995,247.559998,242.350006,235.639999,235.059998,238.75,241.320007,236.529999,238.100006,238.660004,241.699997,242.589996,238.929993,4962500,3228400,3775300,4203800,3682600,241,241.360001,230.529999,230.970001,9045900
238.139999,242.509995,243,240.490005,241,240.5,243.119995,247.559998,242.350006,241.360001,235.059998,238.75,241.320007,236.529999,230.529999,238.660004,241.699997,242.589996,238.929993,230.970001,3228400,3775300,4203800,3682600,9045900,234.490005,246.690002,228.5,241.220001,15354700
242.509995,243,240.490005,241,234.490005,243.119995,247.559998,242.350006,241.360001,246.690002,238.75,241.320007,236.529999,230.529999,228.5,241.699997,242.589996,238.929993,230.970001,241.220001,3775300,4203800,3682600,9045900,15354700,242.190002,242.839996,237.199997,240.199997,5161000
243,240.490005,241,234.490005,242.190002,247.559998,242.350006,241.360001,246.690002,242.839996,241.320007,236.529999,230.529999,228.5,237.199997,242.589996,238.929993,230.970001,241.220001,240.199997,4203800,3682600,9045900,15354700,5161000,239.110001,242.880005,236.800003,241.929993,4577200
240.490005,241,234.490005,242.190002,239.110001,242.350006,241.360001,246.690002,242.839996,242.880005,236.529999,230.529999,228.5,237.199997,236.800003,238.929993,230.970001,241.220001,240.199997,241.929993,3682600,9045900,15354700,5161000,4577200,242.550003,251.820007,242,251.080002,7948800
241,234.490005,242.190002,239.110001,242.550003,241.360001,246.690002,242.839996,242.880005,251.820007,230.529999,228.5,237.199997,236.800003,242,230.970001,241.220001,240.199997,241.929993,251.080002,9045900,15354700,5161000,4577200,7948800,249.720001,252.339996,245.580002,249.100006,5870800
234.490005,242.190002,239.110001,242.550003,249.720001,246.690002,242.839996,242.880005,251.820007,252.339996,228.5,237.199997,236.800003,242,245.580002,241.220001,240.199997,241.929993,251.080002,249.100006,15354700,5161000,4577200,7948800,5870800,250.619995,255.75,250.25,251.699997,6236000
242.190002,239.110001,242.550003,249.720001,250.619995,242.839996,242.880005,251.820007,252.339996,255.75,237.199997,236.800003,242,245.580002,250.25,240.199997,241.929993,251.080002,249.100006,251.699997,5161000,4577200,7948800,5870800,6236000,250,258.850006,248.5,258.679993,6101100
239.110001,242.550003,249.720001,250.619995,250,242.880005,251.820007,252.339996,255.75,258.850006,236.800003,242,245.580002,250.25,248.5,241.929993,251.080002,249.100006,251.699997,258.679993,4577200,7948800,5870800,6236000,6101100,257.48999,259,252.020004,253.979996,4025700
242.550003,249.720001,250.619995,250,257.48999,251.820007,252.339996,255.75,258.850006,259,242,245.580002,250.25,248.5,252.020004,251.080002,249.100006,251.699997,258.679993,253.979996,7948800,5870800,6236000,6101100,4025700,255.860001,259.98999,255.509995,257.700012,4473000
249.720001,250.619995,250,257.48999,255.860001,252.339996,255.75,258.850006,259,259.98999,245.580002,250.25,248.5,252.020004,255.509995,249.100006,251.699997,258.679993,253.979996,257.700012,5870800,6236000,6101100,4025700,4473000,250.610001,251.880005,245.600006,247.740005,7918500
250.619995,250,257.48999,255.860001,250.610001,255.75,258.850006,259,259.98999,251.880005,250.25,248.5,252.020004,255.509995,245.600006,251.699997,258.679993,253.979996,257.700012,247.740005,6236000,6101100,4025700,4473000,7918500,247.949997,250.929993,246,248.710007,3587200
